region,price,year,manufacturer,model,cylinders,fuel,odometer
kirksville,4300,2008.0,ford,fusion,4 cylinders,gas,140000.0
kirksville,20990,2016.0,chevrolet,colorado extended cab,6 cylinders,gas,33038.0
lake of the ozarks,6995,2013.0,chevrolet,captiva,,gas,132000.0
lake of the ozarks,6250,2002.0,acura,3.2 tl,6 cylinders,gas,108000.0
lake of the ozarks,1,2000.0,lincoln,town car signature,8 cylinders,gas,59000.0
lake of the ozarks,5995,2010.0,gmc,acadia,,gas,159000.0
lake of the ozarks,0,2017.0,chevrolet,traverse,6 cylinders,gas,45483.0
lake of the ozarks,16000,2006.0,ram,2500 quad cab,6 cylinders,diesel,190000.0
lake of the ozarks,9850,1999.0,gmc,sierra 1500,,gas,
lake of the ozarks,0,2018.0,kia,forte,4 cylinders,gas,42530.0
lake of the ozarks,18500,2010.0,jeep,wrangler,,gas,71000.0
lake of the ozarks,22990,2017.0,chevrolet,silverado 1500 regular,8 cylinders,gas,19140.0
southeast missouri,275,2015.0,jeep,renegade,4 cylinders,gas,43620.0
southeast missouri,0,2015.0,gmc,terrain,,gas,66537.0
southeast missouri,15500,2019.0,buick,encore preferred,4 cylinders,gas,11000.0
southeast missouri,14500,2006.0,ram,2500,6 cylinders,diesel,245733.0
southeast missouri,39977,2017.0,ram,pickup 1500,8 cylinders,gas,34350.0
southeast missouri,22995,2014.0,chevrolet,tahoe,8 cylinders,other,92281.0
southeast missouri,26977,2016.0,lincoln,mkx,6 cylinders,gas,41225.0
southeast missouri,26977,2016.0,lincoln,mkx,6 cylinders,gas,41225.0
southeast missouri,29995,2012.0,ford,f250 super duty crew cab,8 cylinders,diesel,206791.0
southeast missouri,29995,2011.0,ford,f250 super duty crew cab,8 cylinders,diesel,204366.0
southeast missouri,29995,2010.0,ram,2500 crew cab,6 cylinders,diesel,178788.0
southeast missouri,5950,2005.0,ford,explorer sport trac,,gas,0.0
springfield,29800,1997.0,ram,2500 laramie 4x4,,diesel,95176.0
springfield,33000,2008.0,chevrolet,silverado 3500 4x4,,diesel,60500.0
springfield,18450,2008.0,ford,e150 hightop,,gas,119110.0
springfield,13500,2007.0,chevrolet,silverado 1500 z71,8 cylinders,gas,180000.0
springfield,0,2018.0,chevrolet,equinox lt,4 cylinders,gas,18858.0
springfield,4000,2011.0,chevrolet,aveo lt,4 cylinders,gas,130000.0
springfield,2550,2003.0,honda,accord,,gas,199000.0
springfield,26995,2015.0,ford,f-150 lariat supercrew,8 cylinders,gas,112614.0
springfield,1000,2008.0,jeep,patriot,6 cylinders,gas,200000.0
springfield,2750,2003.0,kia,sorento,,gas,207301.0
springfield,3800,2006.0,ram,,6 cylinders,gas,104000.0
springfield,3000,2010.0,chevrolet,impala,6 cylinders,gas,192000.0
springfield,14950,2012.0,chevrolet,silverado 1500 lt 4x4,8 cylinders,gas,180421.0
springfield,4490,2004.0,ford,expedition eddie bauer 4x4,8 cylinders,gas,1234.0
springfield,16,2002.0,gmc,w4500,4 cylinders,diesel,205241.0
springfield,1000,2002.0,lexus,rx 300,6 cylinders,gas,164055.0
springfield,13500,2010.0,cadillac,escalade esv,,gas,141000.0
springfield,8900,2008.0,bmw,x5,,gas,103000.0
springfield,750,2003.0,ford,escort,4 cylinders,gas,163455.0
springfield,1500,2007.0,ram,1500 4x4 crew cab,8 cylinders,gas,243067.0
springfield,25500,2014.0,chevrolet,silverado 1500 z71 ltz,8 cylinders,gas,124000.0
springfield,1800,1990.0,,Honoda Civic,4 cylinders,gas,290000.0
springfield,23990,2013.0,ford,f150 lariat,6 cylinders,gas,1234.0
springfield,7000,2006.0,mazda,rx8,,gas,108000.0
springfield,15990,2005.0,ford,excursion limited 4x4,8 cylinders,diesel,220.0
springfield,25990,2011.0,ram,3500 cummins,6 cylinders,diesel,187.0
springfield,30990,2011.0,ford,f250 super duty lariat,8 cylinders,diesel,215.0
st joseph,22988,2017.0,nissan,rogue,,gas,
st joseph,8988,2012.0,fiat,500,,gas,
st joseph,12988,2011.0,gmc,acadia,,gas,
st joseph,22988,2013.0,chevrolet,silverado 1500,,gas,
st joseph,13988,2019.0,hyundai,elantra,,gas,
st joseph,25988,2017.0,nissan,frontier,,gas,
st joseph,13988,2015.0,kia,sportage,,gas,
st joseph,22988,2013.0,chevrolet,silverado 1500,,gas,
